ReachID,Name,RiverID,ClimateClass,RKm,WidthMean
790,Snake_River_165,45,27,1640,498
791,Snake_River_166,45,27,1650,498
792,Snake_River_167,45,27,1660,498
793,Snake_River_168,45,27,1670,
794,Snake_River_169,45,27,1680,
795,Snake_River_17,45,7,160,655
796,Snake_River_170,45,27,1690,
797,Snake_River_171,45,27,1700,
798,Snake_River_172,45,27,1710,
799,Snake_River_173,45,27,1720,
800,Snake_River_174,45,27,1730,
801,Snake_River_18,45,7,170,655
802,Snake_River_19,45,18,180,655
803,Snake_River_2,45,5,10,655
804,Snake_River_20,45,18,190,655
805,Snake_River_21,45,7,200,655
806,Snake_River_22,45,7,210,655
807,Snake_River_23,45,7,220,190
808,Snake_River_24,45,7,230,190
809,Snake_River_25,45,7,240,190
810,Snake_River_26,45,7,250,190
811,Snake_River_27,45,7,260,190
812,Snake_River_28,45,7,270,124
813,Snake_River_29,45,7,280,124
814,Snake_River_3,45,5,20,655
815,Snake_River_30,45,7,290,124
816,Snake_River_31,45,7,300,271
817,Snake_River_32,45,7,310,271
818,Snake_River_33,45,7,320,271
819,Snake_River_34,45,7,330,271
820,Snake_River_35,45,7,340,271
821,Snake_River_36,45,26,350,271
822,Snake_River_37,45,7,360,271
823,Snake_River_38,45,7,370,271
824,Snake_River_39,45,18,380,271
825,Snake_River_4,45,7,30,655
826,Snake_River_40,45,18,390,271
827,Snake_River_41,45,18,400,271
828,Snake_River_42,45,18,410,271
829,Snake_River_43,45,18,420,271
830,Snake_River_44,45,7,430,271
831,Snake_River_45,45,7,440,271
832,Snake_River_46,45,7,450,271
833,Snake_River_47,45,7,460,271
834,Snake_River_48,45,7,470,271
835,Snake_River_49,45,7,480,271
836,Snake_River_5,45,7,40,655
837,Snake_River_50,45,7,490,271
838,Snake_River_51,45,7,500,271
839,Snake_River_52,45,7,510,271
840,Snake_River_53,45,7,520,271
841,Snake_River_54,45,7,530,271
842,Snake_River_55,45,7,540,271
843,Snake_River_56,45,7,550,271
844,Snake_River_57,45,7,560,271
845,Snake_River_58,45,7,570,271
846,Snake_River_59,45,7,580,271
847,Snake_River_6,45,7,50,655
848,Snake_River_60,45,7,590,190
849,Snake_River_61,45,7,600,190
850,Snake_River_62,45,7,610,155
851,Snake_River_63,45,7,620,155
852,Snake_River_64,45,5,630,228
853,Snake_River_65,45,5,640,228
