year,mm-dd,location,parameter,unit,datatype,value,date
2023,8-30,MCA,ChinFa:A,fish/day,PIT Tags,22.0,2023-08-30
2023,8-31,MCA,ChinFa:A,fish/day,PIT Tags,21.0,2023-08-31
2023,9-1,MCA,ChinFa:A,fish/day,PIT Tags,24.0,2023-09-01
2023,9-2,MCA,ChinFa:A,fish/day,PIT Tags,36.0,2023-09-02
2023,9-3,MCA,ChinFa:A,fish/day,PIT Tags,46.0,2023-09-03
2023,9-4,MCA,ChinFa:A,fish/day,PIT Tags,46.0,2023-09-04
2023,9-5,MCA,ChinFa:A,fish/day,PIT Tags,32.0,2023-09-05
2023,9-6,MCA,ChinFa:A,fish/day,PIT Tags,41.0,2023-09-06
2023,9-7,MCA,ChinFa:A,fish/day,PIT Tags,37.0,2023-09-07
2023,9-8,MCA,ChinFa:A,fish/day,PIT Tags,21.0,2023-09-08
2023,9-9,MCA,ChinFa:A,fish/day,PIT Tags,18.0,2023-09-09
2023,9-10,MCA,ChinFa:A,fish/day,PIT Tags,13.0,2023-09-10
2023,9-11,MCA,ChinFa:A,fish/day,PIT Tags,20.0,2023-09-11
2023,9-12,MCA,ChinFa:A,fish/day,PIT Tags,31.0,2023-09-12
2023,9-13,MCA,ChinFa:A,fish/day,PIT Tags,23.0,2023-09-13
2023,9-14,MCA,ChinFa:A,fish/day,PIT Tags,13.0,2023-09-14
2023,9-15,MCA,ChinFa:A,fish/day,PIT Tags,21.0,2023-09-15
2023,9-16,MCA,ChinFa:A,fish/day,PIT Tags,7.0,2023-09-16
2023,9-17,MCA,ChinFa:A,fish/day,PIT Tags,9.0,2023-09-17
2023,9-18,MCA,ChinFa:A,fish/day,PIT Tags,15.0,2023-09-18
2023,9-19,MCA,ChinFa:A,fish/day,PIT Tags,19.0,2023-09-19
2023,9-20,MCA,ChinFa:A,fish/day,PIT Tags,16.0,2023-09-20
2023,9-21,MCA,ChinFa:A,fish/day,PIT Tags,9.0,2023-09-21
