date,qu,gain,qd
1983-09-24,4249.13,540.00,6710.00
1983-09-25,5148.33,520.00,6680.00
1983-09-26,4924.56,500.00,6660.00
1983-09-27,5526.17,830.00,6710.00
1983-09-28,6735.51,1080.00,6160.00
1983-09-29,6725.78,1020.00,5110.00
1983-09-30,6912.81,890.00,4550.00
1983-10-01,7369.12,850.00,4500.00
1983-10-02,7378.89,870.00,4520.00
1983-10-03,7523.38,910.00,4560.00
1983-10-04,6820.54,850.00,4480.00
1983-10-05,6118.80,810.00,4440.00
1983-10-06,6266.74,790.00,4470.00
1983-10-07,5756.22,800.00,4480.00
1983-10-08,5943.50,800.00,4430.00
1983-10-09,6133.71,840.00,4450.00
1983-10-10,6294.90,810.00,4420.00
1983-10-11,7168.15,810.00,4420.00
1983-10-12,6146.46,800.00,4410.00
1983-10-13,6298.93,800.00,4390.00
1983-10-14,6691.30,890.00,4500.00
1983-10-15,6325.82,830.00,4510.00
