date,computed flow(m3/d),wse(m),outflow(m3/d),avg air temperature (C),max air temperature (C),min air temperature (C),storage(m3)
1990-01-31,1135796.3624448,1920.276576,668819.2564224,-6.605488399999999,-4.827696399999999,-7.794386799999998,139494450.5568
1990-02-01,1046594.3648256,1920.28572,668941.5849984001,-5.788815199999998,-2.0332295999999985,-7.927721199999999,139755689.286
1990-02-02,961160.0873472,1920.2918160000002,669063.9135744,-8.466614399999997,-5.611035999999999,-9.8499588,139931497.1904
1990-02-03,961527.0730752,1920.297912,669137.31072,-6.999935999999998,-0.8054419999999958,-16.8833484,140107662.80400002
1990-02-04,785349.45792,1920.297912,669210.7078655999,-10.277739999999998,-2.5554559999999977,-21.5111632,140107662.80400002
1990-02-05,1052050.2193151999,1920.307056,669284.1050112,-8.516614799999997,-2.0332295999999985,-12.2944228,140374365.84960002
1990-02-06,1136995.1824896,1920.3192480000002,669406.4335872,-6.2610411999999975,-3.427685199999999,-10.283295599999999,140723576.37240002
1990-02-07,957490.2300672,1920.325344,669577.6935936,-9.316621199999998,-5.088809599999998,-12.2944228,140900605.422
1990-02-08,1038887.6645376,1920.3344880000002,669675.5564544001,-10.0666272,-6.616599599999999,-13.694434,141168813.3132
1990-02-09,1212936.7624704,1920.349728,669846.8164608,-4.544360799999998,-2.8610139999999973,-6.877712799999998,141611089.90199998
1990-02-10,948976.1611775999,1920.3558240000002,670018.0764672001,-1.2387787999999986,0.3279004000000043,-3.077682399999997,141789389.436
1990-02-11,861902.6807808001,1920.3588720000002,670067.0078976,-0.4443279999999987,1.289019200000002,-1.6832268,141880629.9516
1990-02-12,1058386.839552,1920.3680160000001,670115.939328,-4.911030399999998,-0.633218399999997,-11.638861999999998,142146333.8784
1990-02-13,891677.4561792,1920.3710640000002,670238.267904,-15.427781199999998,-7.794386799999998,-23.255621599999998,142237981.4424
1990-02-14,1066387.1284224,1920.380208,670336.1307648,-17.8000224,-7.838831599999997,-32.3445832,142504339.11360002
1990-02-15,891897.647616,1920.383256,671143.4993664,-21.055604,-9.194397999999998,-36.450171600000004,142596208.704
1990-02-16,1154610.4974336,1920.3954480000002,670507.3907712,-9.599956799999998,-6.616599599999999,-13.649989199999998,142950797.1996
1990-02-17,1252448.8925184,1920.4106880000002,670776.5136384,-7.3499387999999986,-0.2387707999999975,-19.72226,143403225.3288
1990-02-18,980414.6052096001,1920.416784,670898.8422144001,-17.0666832,-2.6443455999999994,-31.555688000000004,143583621.7788
1990-02-19,800028.88704,1920.416784,670923.3079296,-16.877792799999998,4.694602000000003,-33.1279228,143583621.7788
1990-02-20,800028.88704,1920.416784,670972.23936,-15.8000064,2.0723588,-33.083478,143583621.7788
1990-02-21,980659.2623616,1920.4228800000003,670996.7050752,-5.466590399999998,-2.377676799999998,-11.205525199999999,143764240.2552
1990-02-22,880961.4729216,1920.4259279999999,671045.6365056,-3.427685199999999,-0.5887735999999961,-5.788815199999998,143852508.084
1990-02-23,966469.1475456,1920.4320240000002,671094.5679360001,-2.1554527999999973,4.783491600000001,-11.1610804,144033632.2872
1990-02-24,878050.0528127999,1920.4350720000002,671167.9650816,-0.7943307999999973,9.894643600000006,-9.499955999999997,144126328.3092
1990-02-25,966811.6675584001,1920.441168,671241.3622272001,-6.033261599999998,5.833500000000004,-15.438892399999999,144307797.88680002
1990-02-26,873768.5526528,1920.444216,671290.2936576,-3.3443511999999966,6.266836800000004,-11.638861999999998,144396226.06800002
1990-02-27,785349.45792,1920.444216,671339.225088,-4.222135999999999,2.7279196,-14.8277764,144396226.06800002
1990-02-28,878441.504256,1920.4472640000001,660378.5846784001,-5.7499259999999985,7.316845200000003,-17.4944644,144489329.13840002
1990-03-01,1046129.5162367999,1920.456408,642469.6811520001,-8.505503599999997,11.639102000000005,-23.694513999999998,144759905.3112
1990-03-02,952768.3470336,1920.4625039999999,642567.5440128,-4.694361999999998,9.022414400000006,-19.5889256,144942003.9636
1990-03-03,1135722.9652992,1920.4746960000002,642714.338304,0.3890120000000046,4.5223784000000045,-2.1165635999999974,145307052.3696
