date,avg water temperature (C),min_temp(C),max_temp(C),inflow(m3/d),outflow(m3/d)
2022-07-25,12.227995600000003,11.922437600000006,12.700221600000003,-5137.800192,467295.16031999997
2022-07-26,12.150217200000004,11.811325600000004,12.561331600000003,-8440.671744000001,420810.30144
2022-07-27,12.205773200000003,11.883548400000006,12.622443200000003,-43133.055897599996,437936.30208
2022-07-28,12.233551200000004,11.916882000000005,12.577998400000006,2055.1200768,494207.44704
2022-07-29,12.205773200000003,11.983549200000002,12.500220000000002,-25591.1380992,555371.7350399999
2022-07-30,12.200217600000006,11.916882000000005,12.555776000000005,-4966.5401856,596963.45088
2022-07-31,12.216884400000005,11.939104400000005,12.422441600000003,17517.4520832,562711.4495999999
2022-08-01,12.216884400000005,11.955771200000004,12.433552800000005,-16832.4120576,538245.7344
2022-08-02,12.277996000000005,12.016882800000005,12.594665200000005,-17884.437811199998,518673.16224
2022-08-03,12.305774000000003,11.939104400000005,12.661332400000003,-37310.21568,481974.58944
2022-08-04,12.255773600000005,11.972438000000004,12.622443200000003,-40759.8815232,450169.15968
2022-08-05,12.233551200000004,11.922437600000006,12.616887600000005,-29823.706828799997,469741.73184
2022-08-06,12.289107200000004,11.939104400000005,12.661332400000003,-36013.5327744,472188.30336
2022-08-07,12.372441200000004,11.994660400000004,12.739110800000002,-24759.3037824,455062.30272
2022-08-08,12.455775200000005,12.116883600000005,12.889112000000004,-25860.2609664,437936.30208
2022-08-09,12.561331600000003,12.305774000000003,13.000224000000003,-2471.0372352,445276.01664
2022-08-10,12.7279996,12.4891088,13.111336000000005,12330.7204608,445276.01664
2022-08-11,12.611332000000004,12.289107200000004,12.972446000000005,-9663.957504,420810.30144
2022-08-12,12.6279988,12.339107600000006,13.022446400000003,-38093.1185664,425703.44448
2022-08-13,12.572442800000005,12.3113296,12.922445600000003,-31927.758336000003,428150.016
2022-08-14,12.539109200000002,12.1724396,12.922445600000003,-13774.1976576,467295.16031999997
2022-08-15,12.622443200000003,12.283551600000003,13.033557600000005,-25982.589542399997,452615.7312
2022-08-16,12.700221600000003,12.333552000000005,13.089113600000005,-28208.9696256,423256.87296
2022-08-17,12.766888800000004,12.383552400000003,13.155780800000002,-16979.206348800002,408577.44384
2022-08-18,12.811333600000005,12.527998000000004,13.122447200000003,-15535.729151999998,384111.72864
2022-08-19,12.928001200000004,12.689110400000004,13.228003600000005,-20233.1464704,354752.8704
2022-08-20,12.994668400000005,12.666888000000004,13.350226800000005,-16905.8092032,401237.72927999997
2022-08-21,12.878000800000002,12.577998400000006,13.205781200000004,-40588.6215168,430596.58752
2022-08-22,12.905778800000004,12.672443600000005,13.250226000000005,40710.9500928,442829.44512
2022-08-23,12.994668400000005,12.6279988,13.366893600000004,-12404.117606400001,452615.7312
