date,avg gain (m3/d),power discharge (m3/d),computed flow(m3/d),avg air temperature (C),max air temperature (C),min air temperature (C),wse(m),storage(m3)
2015-08-12,-155063.7029376,,-13896.5262336,23.805866,32.77816000000001,14.278012000000004,1468.3892400000002,495878695.68
2015-08-13,-149020.67128319998,,-9566.0946432,22.822524800000004,34.555952000000005,10.889096000000006,1468.334376,491318520.12
2015-08-14,925391.2117248,,1058240.0452608,22.628078800000004,30.889256000000003,13.000224000000003,1468.291704,487777199.04
2015-08-15,-768101.1287039999,,-634518.323712,17.616927600000004,25.222544000000006,9.000192000000006,1468.2276960000002,482494204.2
2015-08-16,308341.4086656,,443147.4994176,16.272472400000005,25.278100000000002,5.000160000000005,1468.1758800000002,478239931.68
2015-08-17,-497021.004288,,-364172.170752,16.800254400000007,25.278100000000002,5.833500000000004,1468.11492,473251738.56
2015-08-18,-11621.21472,,120982.961664,17.139146000000004,25.555880000000002,6.4446160000000035,1468.0600560000003,468797642.28000003
2015-08-19,-472139.37192959996,,-339290.5383936,16.866921600000005,26.055884000000006,6.611284000000001,1467.9990960000002,463858788.36
2015-08-20,74400.2399232,,207738.38776319998,17.805818000000002,28.389236000000004,5.722388000000002,1467.94728,459687159.0
2015-08-21,557133.2665343999,,690226.7572224,17.700261600000005,26.166996000000005,7.500180000000004,1467.90156,456022489.92
2015-08-22,-683694.411264,,-555983.37792,16.561363600000007,24.055868000000004,7.277956000000003,1467.837552,450915882.72
2015-08-23,-134708.2278912,,-5039.9373312,15.9613588,29.278132000000006,4.389044000000002,1467.7796400000002,446311301.88
2015-08-24,-331339.18095360004,,-203628.1476096,18.944716,30.111472000000006,7.277956000000003,1467.7186800000002,441508130.76
2015-08-25,273428.83307520003,,401384.5235712,19.461386800000007,30.667032000000006,7.666848000000002,1467.6699119999998,437676941.88
2015-08-26,-590798.0906496,,-460640.4857856,20.26694880000001,33.00038400000001,7.777960000000004,1467.612,433155004.2
2015-08-27,539664.7458816001,,667375.7792256,22.100296800000002,28.500348000000002,14.111344000000003,1467.569328,429834476.04
2015-08-28,-319864.7605248,,-191175.0985728,18.494712400000004,28.555904000000005,9.055748000000001,1467.5266560000002,426536150.52
2015-08-29,281453.5876608,,407452.02094079996,20.166948000000005,27.444784000000006,14.444680000000005,1467.496176,424178970.24
2015-08-30,-211652.9021952,,-84675.8403072,15.955803200000005,21.166956,11.722436000000005,1467.4535039999998,420889279.08
2015-08-31,-110193.5812608,,17517.4520832,13.978009600000004,23.833644000000007,3.6668160000000043,1467.407784,417383728.92
2015-09-01,78216.8914944,,207885.1820544,15.811357600000008,26.166996000000005,4.944604000000002,1467.365112,414117473.88
2015-09-02,115478.17574400001,,243433.86624,16.455807200000002,23.278084000000007,9.166860000000003,1467.3224400000001,410862320.16
2015-09-03,431697.54470399994,,558185.292288,11.2390988,14.111344000000003,8.389076000000003,1467.2858640000002,408093157.56
2015-09-04,-974420.5049855999,,-848422.0717055999,9.933532800000005,18.389156,1.166796000000005,1467.234048,404162056.8
2015-09-05,542796.3574272001,,669773.4193152,5.939056400000002,10.444648,3.1668120000000037,1467.2035680000001,401871484.44
2015-09-06,301295.282688,,428027.68742399995,7.8446272000000015,16.944700000000005,-0.7221079999999986,1467.1700400000002,399339150.0
2015-09-07,-309809.3515776,,-181119.6896256,9.794642800000005,20.11139200000001,-1.110999999999997,1467.1304160000002,396368930.16
2015-09-08,132555.2449536,,260021.6211456,11.544656800000006,22.61141200000001,0.055676000000001835,1467.099936,394084525.2
2015-09-09,-108480.98119680001,,20942.652211200002,14.861350000000002,27.167004000000006,3.3334800000000016,1467.0664080000001,391585494.72
2015-09-10,94486.5921024,,222197.6254464,16.028026000000004,28.778128000000002,3.777928000000003,1467.035928,389312191.08
2015-09-11,281918.4362496,,410118.78389759996,17.194702000000007,30.444808000000002,4.055708000000003,1467.0084960000002,387278182.56
2015-09-12,280230.3019008,,406473.39233279997,17.872485200000007,31.222592000000006,6.333504000000001,1466.981064,385247874.48
2015-09-13,-398913.48633600003,,-273159.71020800003,18.250266000000003,28.611460000000008,7.277956000000003,1466.944488,382540385.88
2015-09-14,730766.4473088,,857988.1663488,11.7557696,18.778048000000005,4.722380000000005,1466.923152,380968932.36
2015-09-15,-290065.5194112,,-163577.7718272,9.533529600000001,14.555792000000004,6.833508000000002,1466.8896240000001,378493338.0
2015-09-16,381714.08855040005,,508201.8361344,7.972406000000003,11.277988,5.2779400000000045,1466.8682880000001,376929285.36
2015-09-17,642469.6811520001,,768712.771584,6.655728800000002,9.277972000000005,5.111272000000003,1466.8530480000002,375804351.6
2015-09-18,330385.0180608,,458096.05140480003,8.177963200000004,16.611364000000002,2.6668079999999996,1466.837808,374691752.64
2015-09-19,242822.22336,,370043.9424,9.216860400000005,19.889168000000005,-0.4443279999999987,1466.822568,373581620.64
2015-09-20,11694.6118656,,139405.64520959998,12.783555600000003,24.500316000000005,1.944580000000002,1466.8042800000003,372243294.84000003
2015-09-21,664048.4419584001,,789557.5609344001,13.511339200000005,24.555872000000008,4.389044000000002,1466.795136,371569814.76
2015-09-22,-298090.2739968,,-171847.18356479998,13.550228400000005,25.166988000000003,2.611252000000004,1466.7738000000002,370018096.92
2015-09-23,144347.71968,,270346.15296,14.083566000000005,25.000320000000002,3.2779240000000023,1466.761608,369128757.84000003
2015-09-24,18275.8892544,,149901.4370304,14.361346000000005,26.333664000000006,2.7779200000000017,1466.7524640000001,368468846.04
2015-09-25,231201.00864,,402461.01503999997,15.9224696,29.333688000000002,3.4445920000000037,1466.746368,368024793.24
2015-09-26,-268560.1557504,,617098.7344895999,16.7946988,24.833652000000008,9.111304000000004,1466.74332,367797832.92
2015-09-27,-34814.7127296,,828825.0338304,13.439116400000003,22.000296,5.222384000000002,1466.746368,368024793.24
2015-09-28,-107086.4354304,,717408.1668096001,11.9335488,23.16697200000001,1.2223520000000043,1466.749416,368240652.24
2015-09-29,81960.14592,,940706.74944,13.178003200000003,26.611444000000006,1.7223560000000049,1466.755512,368684705.04
2015-09-30,-121668.00168959999,,724845.7442304,13.516894800000003,24.166980000000002,2.889032000000004,1466.75856,368912898.84000003
2015-10-01,322286.8663296,,1161460.8976896,15.794690800000005,19.778056,11.833548,1466.7677039999999,369572810.64
2015-10-02,-340073.44127999997,,491760.87552,15.200241600000005,20.278060000000004,10.333536000000006,1466.7677039999999,369572810.64
2015-10-03,571274.44992,,1388429.3376,10.539093200000003,17.500260000000004,4.111264000000002,1466.7798960000002,370462149.72
2015-10-04,-540129.5944704,,262345.8640896,11.194654000000003,19.333608000000005,3.0557000000000016,1466.7768480000002,370235189.4
2015-10-05,152910.72,,945599.89248,10.427981200000005,21.666960000000003,1.055684000000003,1466.782944,370679242.2
2015-10-06,171260.00639999998,,951716.32128,11.372433200000003,22.778080000000003,1.444576000000005,1466.78904,371124528.48
2015-10-07,-43377.7130496,,722399.1727104,10.494648400000003,19.055828000000005,2.2779160000000047,1466.7920880000001,371352722.28000003
2015-10-08,356563.3333248,,1156592.2203648,13.161336400000003,21.22251200000001,7.222400000000004,1466.801232,372015101.04
2015-10-09,137008.00512,,961502.60736,14.389124000000002,26.667,4.833492000000003,1466.8073279999999,372460387.32
2015-10-10,-1423268.5160448,,-615899.9144448,16.7558096,25.666992000000008,4.389044000000002,1466.7920880000001,371352722.28000003
2015-10-11,1542612.2747904,,2239885.1579903997,11.244654400000005,20.38917200000001,4.833492000000003,1466.8164720000002,373135100.88
2015-10-12,-411684.5896704,,226870.57704960002,9.316861200000005,23.333640000000003,-1.666559999999997,1466.8134240000002,372906907.08
2015-10-13,549940.3462656,,1124884.6534656,11.350210800000003,23.778088000000004,0.5001240000000031,1466.822568,373581620.64
2015-10-14,158366.5744896,,667253.4506496,11.3779888,23.278084000000007,1.666800000000002,1466.825616,373798713.12
2015-10-15,4893.14304,,455062.30272,11.116875600000004,24.111424000000007,-0.05543599999999671,1466.825616,373798713.12
2015-10-16,275924.3360256,,679608.6368255999,11.3390996,24.722540000000002,0.777904000000003,1466.8286640000001,374028140.4
2015-10-17,-363340.33643519995,,1198.8200448,12.0335496,24.111424000000007,1.166796000000005,1466.822568,373581620.64
2015-10-18,1230013.83168,,1567640.70144,12.266884800000003,16.000248,10.555760000000003,1466.837808,374691752.64
2015-10-19,1242271.1549952,,1567665.1671552,9.389084000000004,10.889096000000006,8.222408000000001,1466.8530480000002,375804351.6
2015-10-20,-69091.1797248,,234283.6887552,8.855746400000001,14.444680000000005,4.222376000000004,1466.8500000000001,375586025.64
2015-10-21,-27499.4638848,,248963.1178752,6.105724400000003,16.444696000000008,-1.2221119999999956,1466.846952,375367699.68
2015-10-22,426290.6216448,,678287.4882048,5.905722800000003,13.833564000000003,-0.4443279999999987,1466.8500000000001,375586025.64
2015-10-23,11890.337587200002,,244069.9748352,4.8946036000000035,14.000232000000004,-3.833243999999997,1466.846952,375367699.68
2015-10-24,27964.3124736,,243996.5776896,6.133502400000001,12.055772000000005,-0.5554399999999973,1466.8439039999998,375139505.88
2015-10-25,279398.467584,,479528.01792,7.950183600000006,15.055796000000008,2.5556960000000046,1466.8439039999998,375139505.88
2015-10-26,732283.3216512,,923605.2145152,5.6557208000000045,9.944644000000004,0.0001200000000025625,1466.8500000000001,375586025.64
2015-10-27,47854.9389312,,231837.1172352,2.9001432000000023,11.611324000000003,-1.999895999999998,1466.846952,375367699.68
2015-10-28,734411.8388736,,906405.8167296001,2.4445840000000025,7.777960000000004,-2.2221199999999968,1466.8530480000002,375804351.6
2015-10-29,287716.81075199996,,457508.87424,4.344599200000005,7.889072000000006,-0.22210399999999808,1466.8530480000002,375804351.6
2015-10-30,295790.496768,,464848.58879999997,1.705689200000002,5.333496000000004,-1.7776719999999955,1466.8530480000002,375804351.6
2015-10-31,741824.9505791999,,917488.7857152,9.127970800000003,13.722452000000004,5.722388000000002,1466.859144,376252104.84000003
2015-11-01,2073102.377472,,2257084.555776,8.922413600000006,13.500228000000003,6.389060000000004,1466.883528,378044351.28000003
2015-11-02,713713.8438144,,906503.6795904,4.411266400000002,7.389068000000002,1.7223560000000049,1466.8896240000001,378493338.0
2015-11-03,37823.9956992,,228167.25995520002,2.0668032000000025,4.389044000000002,-0.1665479999999988,1466.886576,378273778.56
2015-11-04,44062.7530752,,225622.8255744,0.9945724000000027,5.500164000000002,-3.277683999999997,1466.883528,378044351.28000003
2015-11-05,1193266.3274496,,1368930.1625855998,-0.7054411999999957,3.1112560000000045,-4.999919999999998,1466.89572,378941091.24
2015-11-06,-611960.9342976,,-431893.2704256,1.3167972,6.111280000000004,-2.9999039999999972,1466.883528,378044351.28000003
2015-11-07,740136.8162304,,911396.8226304,0.5834580000000003,9.389084000000004,-5.999927999999999,1466.8896240000001,378493338.0
2015-11-08,-1037713.3102079999,,-873548.361216,2.422361600000002,11.389100000000003,-3.888799999999998,1466.871336,377147611.32
2015-11-09,2998273.39776,,3172224.6328319996,1.433464800000003,4.722380000000005,-0.27765999999999735,1466.907912,379840298.16
2015-11-10,738424.2161664,,916289.9656704,-0.43321679999999674,2.8334760000000045,-4.222135999999999,1466.9140080000002,380289284.88
2015-11-11,757507.4740224,,927299.5375103999,-3.2054611999999967,0.2223440000000032,-8.499947999999998,1466.920104,380739505.08
2015-11-12,317075.668992,,479528.01792,-1.9332287999999984,2.9445879999999995,-6.444375999999998,1466.920104,380739505.08
2015-11-13,755060.9025024,,911396.8226304,2.600140800000002,7.444624000000001,-0.6109959999999965,1466.9262,381188491.8
2015-11-14,-129717.22199040001,,20746.926489600002,5.227939600000003,12.722444000000003,0.2779000000000025,1466.920104,380739505.08
2015-11-15,3481104.287232,,3624962.6926080002,5.350162800000003,12.277996000000005,-1.999895999999998,1466.962776,383892279.96
2015-11-16,-3044489.1337728,,-2905034.5571328,-2.0721187999999984,0.4445680000000003,-3.7776879999999977,1466.9170560000002,380519945.64
2015-11-17,1010580.8320512,,1145631.5799552,0.539013200000003,5.722388000000002,-3.666575999999999,1466.9262,381188491.8
2015-11-18,1447098.1226496,,1582393.5277056,0.6223472000000001,4.0001520000000035,-3.666575999999999,1466.94144,382308491.64
2015-11-19,1922148.914688,,2060869.519872,-1.4110023999999974,0.8334600000000023,-4.3332479999999975,1466.962776,383892279.96
2015-11-20,322702.783488,,462402.01728,-3.9554671999999975,-0.888776,-10.333295999999997,1466.962776,383892279.96
2015-11-21,110389.3069824,,241525.5404544,-8.894395599999998,-1.3332239999999977,-14.333327999999998,1466.959728,383661619.2
2015-11-22,800836.2556416,,926100.7174655999,-6.866601599999997,-0.6665519999999958,-10.722188,1466.965824,384113072.88
2015-11-23,145693.33401599998,,266064.6528,-4.644361599999998,2.333472000000004,-10.277739999999998,1466.962776,383892279.96
2015-11-24,1054398.9279744,,1173791.6181504,1.2279076000000018,5.444608000000002,-4.722139999999998,1466.97192,384564526.56
2015-11-25,373591.47110399994,,496654.01856,-1.249889999999997,0.6667920000000045,-4.3332479999999975,1466.97192,384564526.56
2015-11-26,609392.0342016,,724870.2099455999,-2.705457199999998,2.333472000000004,-6.333263999999998,1466.974968,384795187.32
2015-11-27,180361.2524544,,278224.11325439997,-7.138825999999998,0.4445680000000003,-13.666656,1466.97192,384564526.56
2015-11-28,-32368.141209600002,,59867.605094399994,-8.455503199999997,0.7223480000000002,-16.500011999999998,1466.965824,384113072.88
2015-11-29,396833.900544,,484421.16096,-10.494408399999998,-2.4443439999999974,-16.444456,1466.965824,384113072.88
2015-11-30,174807.535104,,258724.93824,-11.011079199999998,-3.9999119999999966,-16.66668,1466.962776,383892279.96
2015-12-01,396589.243392,,477081.4464,-10.622187199999999,-3.222127999999998,-16.555567999999997,1466.962776,383892279.96
2015-12-02,393873.54900480004,,472188.30336,-6.011039199999999,-2.277675999999998,-12.499979999999999,1466.962776,383892279.96
2015-12-03,162501.2803584,,239078.9689344,1.5223544000000047,8.055740000000004,-4.722139999999998,1466.959728,383661619.2
2015-12-04,1977955.2110592,,2060893.9855872,0.5779024000000028,2.055692000000004,-0.3887719999999959,1466.981064,385247874.48
2015-12-05,601000.293888,,690544.81152,-0.644329599999999,3.4445920000000037,-3.9999119999999966,1466.9841119999999,385468667.4
2015-12-06,625784.0633856,,717530.4953855999,1.444576000000005,3.6668160000000043,-1.6110039999999977,1466.9871600000001,385699328.16
2015-12-07,3084001.2638208,,3202904.6396928,2.9668104000000035,7.889072000000006,0.3890120000000046,1467.0237359999999,388405583.28000003
2015-12-08,4215369.3318144,,4367301.4232064,5.711276800000004,6.555728000000002,4.333488000000003,1467.075552,392273776.56
2015-12-09,4875968.1079296,,5040867.0283776,3.3001464000000027,8.500188000000001,-1.388779999999997,1467.136512,396825317.76
2015-12-10,2586613.2738048,,2777445.8523648,1.1445736000000046,4.500156000000004,-0.9443319999999957,1467.1669920000002,399115890.12
