date,total avg discharge (m3/d),inflow(m3/d),wse(m),avg air temperature (C),max air temperature (C),min air temperature (C),storage(m3),canal discharge (m3/d),outflow(m3/d)
2018-09-15,336868.4325888,79073.1915264,659.629872,13.361338000000003,19.91139040000001,6.955731200000006,5194184.28,231788.18580479998,105080.246784
2018-09-16,334421.8610688,71684.545536,659.288496,13.700229600000004,20.861398,6.033501600000005,4931453.04,229366.08,105055.78106879999
2018-09-17,324219.65783040004,66424.416768,658.944072,14.428013200000002,22.622523200000003,7.111288000000002,4673655.72,229194.81999360002,95024.83783680001
2018-09-18,316292.7661056,53555.4505728,658.584408,15.028018000000003,22.433632800000005,8.5168548,4410924.48,226895.0427648,89397.7233408
2018-09-19,306726.6714624,67427.5110912,658.24608,13.383560400000007,21.172511600000007,6.133502400000001,4171629.36,225304.7712768,81421.9001856
2018-09-20,171969.5121408,104126.0838912,658.1485440000001,14.300234400000008,23.4391964,6.233503200000001,4103787.96,112028.5099008,59941.00224
2018-09-21,40637.5529472,101092.3352064,658.2369360000001,17.200257600000008,27.433672800000004,8.400187200000001,4164228.48,2128.5172224,38509.0357248
2018-09-22,30826.801152,98670.2294016,658.334472,16.044692800000007,21.2169564,10.572426800000006,4232069.88,0.0,30826.801152
2018-09-23,30826.801152,99917.98087680001,658.432008,14.589125600000003,20.094725200000006,10.133534400000006,4301144.76,0.0,30826.801152
2018-09-24,20502.269337600002,103147.45528319999,658.5478320000001,13.478005600000003,23.08919360000001,5.566831200000006,4383787.92,0.0,20502.269337600002
2018-09-25,15291.072,102853.86670079999,658.669752,20.028058,31.905930800000007,9.016858800000001,4471365.0,0.0,15291.072
2018-09-26,16538.8234752,93018.6491904,658.773384,19.6558328,31.3559264,9.811309600000001,4547840.76,0.0,16538.8234752
2018-09-27,17370.657791999998,77800.974336,658.85568,21.150289200000003,32.36149,11.861326000000005,4608281.28,0.0,17370.657791999998
2018-09-28,17370.657791999998,102486.8809728,658.9715040000001,19.9780576,29.272576400000005,12.439108400000006,4693391.4,0.0,17370.657791999998
2018-09-29,17395.1235072,97569.27221760001,659.078184,16.4502516,21.19473400000001,11.7557696,4773567.6,0.0,17395.1235072
2018-09-30,17957.834956799998,98131.9836672,659.184864,14.9280172,21.678071200000005,11.194654000000003,4853743.8,0.0,17957.834956799998
2018-10-01,14385.8405376,89642.3804928,659.2854480000001,12.555776000000005,16.1335824,9.627974800000004,4928986.08,0.0,14385.8405376
2018-10-02,12355.186176,98694.69511680001,659.398224,16.6891424,21.511403200000004,12.194662000000005,5015329.68,0.0,12355.186176
2018-10-03,12355.186176,103636.7695872,659.517096,16.716920400000006,21.02251040000001,12.283551600000003,5106607.2,0.0,12355.186176
2018-10-04,12355.186176,90058.2976512,659.61768,13.494672400000002,17.5891496,8.094629200000004,5184316.44,0.0,12355.186176
2018-10-05,12355.186176,101165.732352,659.730456,8.372409200000003,12.394663600000005,5.005715600000002,5273127.0,0.0,12355.186176
2018-10-06,12355.186176,96223.6578816,659.8371360000001,10.977985600000004,15.989136800000004,8.300186400000001,5357003.64,0.0,12355.186176
2018-10-07,12355.186176,99942.44659200001,659.946864,11.455767200000004,16.622475200000004,6.650173200000001,5444580.72,0.0,12355.186176
2018-10-08,12355.186176,92529.3348864,660.0474480000001,13.344671200000004,16.994700400000006,10.377980800000003,5524756.92,0.0,12355.186176
2018-10-09,11792.4747264,94437.660672,660.15108,13.333560000000006,17.416926000000004,7.677959200000004,5607400.08,0.0,11792.4747264
2018-10-10,11449.954713599998,97789.4636544,660.25776,10.516870800000003,17.605816400000002,4.544600800000001,5693743.68,0.0,11449.954713599998
2018-10-11,10936.174694399999,88663.7518848,660.3522480000001,13.989120800000002,21.75029400000001,8.183518800000002,5771452.92,0.0,10936.174694399999
2018-10-12,10569.188966400001,93214.374912,660.4528320000001,13.472450000000006,22.17807520000001,4.672379600000003,5854096.08,0.0,10569.188966400001
2018-10-13,10569.188966400001,90743.3376768,660.5503679999999,12.744666400000003,22.244742400000007,6.077946400000002,5934272.28,0.0,10569.188966400001
2018-10-14,10569.188966400001,77164.8657408,660.629616,14.500236000000008,19.60583240000001,10.050200400000005,6000880.2,0.0,10569.188966400001
2018-10-15,10569.188966400001,63610.85952,660.6936240000001,16.722476000000007,24.972542000000004,11.889104000000003,6053919.84,0.0,10569.188966400001
2018-10-16,10128.8060928,-2201.914368,660.678384,18.578046400000005,27.10589240000001,8.611300000000004,6041585.04,0.0,10128.8060928
2018-10-17,7657.7688576,5186.731622400001,660.6753360000001,18.533601600000004,27.078114400000004,12.683554800000003,6039118.08,0.0,7657.7688576
2018-10-18,6263.2230912,-1125.4228992,660.666192,14.700237600000001,23.878088800000008,6.089057600000004,6031717.2,0.0,6263.2230912
2018-10-19,6312.1545216,1370.0800512,660.6600960000001,14.805794000000006,26.250330000000005,7.155732800000006,6026783.28,0.0,6312.1545216
2018-10-20,6361.085952,-2275.3115136,660.650952,16.072470800000005,27.02255840000001,6.505727600000004,6018148.92,0.0,6361.085952
2018-10-21,6067.4973696,-3816.6515712,660.6387599999999,15.239130800000005,25.172543600000004,7.933516800000003,6008281.08,0.0,6067.4973696
2018-10-22,5798.3745024,-1614.7372032,660.629616,13.911342400000002,23.383640400000004,6.605728400000004,6000880.2,0.0,5798.3745024
2018-10-23,5798.3745024,-4061.3087232,660.617424,13.705785200000005,19.68361080000001,10.289091200000005,5991012.36,0.0,5798.3745024
2018-10-24,5798.3745024,-2838.0229631999996,660.60828,10.189090400000005,16.016914800000002,6.594617200000002,5982378.0,0.0,5798.3745024
2018-10-25,5798.3745024,856.300032,660.602184,10.661316400000004,17.116923600000007,5.311273600000003,5977444.08,0.0,5798.3745024
2018-10-26,5798.3745024,856.300032,660.596088,12.878000800000002,18.6224912,7.922405600000001,5972510.16,0.0,5798.3745024
2018-10-27,5871.771648,-1516.8743424,660.5869440000001,14.816905200000008,24.350314800000007,9.111304000000004,5965109.28,0.0,5871.771648
