date,total avg discharge (m3/d),wse(m),storage(m3)
1994-03-26,68504.00256,929.76192,222051.06960000002
1994-03-27,66057.43104,929.7375360000001,211776.1812
1994-03-28,63610.85952,929.7192480000001,204362.9664
1994-03-29,58717.71648,929.713152,201957.68039999998
1994-03-30,58717.71648,929.7162000000001,203154.156
1994-03-31,61164.288,929.7558240000001,219423.7572
1994-04-01,66057.43104,929.7832559999999,231474.8568
1994-04-02,68504.00256,929.810688,244179.70080000002
1994-04-03,73397.1456,929.835072,256021.10880000002
1994-04-04,78290.28864,929.841168,259080.1392
1994-04-05,80981.517312,929.8625040000001,270082.7808
1994-04-06,84162.060288,929.8899360000001,284909.2104
1994-04-07,86853.28896,929.8929840000001,286611.41280000005
1994-04-08,86608.63180799999,929.8838400000001,281541.81
1994-04-09,87097.946112,929.8960320000001,288313.6152
1994-04-10,87831.91756799999,929.9021280000001,291755.0244
1994-04-11,88076.57472,929.89908,290028.1524
1994-04-12,83183.43168,929.9021280000001,291755.0244
1994-04-13,83183.43168,929.9082240000001,295196.4336
1994-04-14,83183.43168,929.905176,293494.2312
1994-04-15,83183.43168,929.8960320000001,288313.6152
1994-04-16,83183.43168,929.8838400000001,281541.81
1994-04-17,80736.86016,929.865552,271686.3048
1994-04-18,78045.631488,929.859456,268479.2568
1994-04-19,75843.71712,929.859456,268479.2568
1994-04-20,75843.71712,929.8625040000001,270082.7808
1994-04-21,75843.71712,929.575992,129737.42640000001
1994-04-22,74131.117056,929.575992,129737.42640000001
1994-04-23,73152.48844799999,,13698930.2016
1994-04-24,79268.917248,,13806650.01
1994-04-25,83183.43168,,13960242.9396
1994-04-26,100309.43231999999,,14096012.0832
1994-04-27,195725.7216,,14193925.725599999
1994-04-28,215298.29376,,14233113.3852
1994-04-29,215298.29376,,14246237.612399999
1994-04-30,212851.72224,,14279159.193599999
1994-05-01,212851.72224,,14344373.281200001
1994-05-02,205512.00768,,14396438.472
1994-05-03,207958.5792,,14416063.138799999
1994-05-04,190832.57856,,14422625.2524
1994-05-05,207958.5792,,14402988.250799999
1994-05-06,198172.29312,,14363923.9392
1994-05-07,205512.00768,,14331347.7324
1994-05-08,205512.00768,,14193925.725599999
1994-05-09,198172.29312,,14115550.4064
1994-05-10,185939.43552,,14044230.5928
1994-05-11,171260.00639999998,,13979583.906000001
1994-05-12,90523.14624,,13928086.116
1994-05-13,60919.63084799999,,13832158.376400001
1994-05-14,85630.00319999999,,13749441.207600001
1994-05-15,80736.86016,,13603495.853999998
1994-05-16,70950.57408,,13456970.764800001
1994-05-17,55047.8592,,13268149.6464
1994-05-18,21774.486528,,13125226.3188
1994-05-19,50399.373312,,13039043.0712
1994-05-20,86608.63180799999,,12903113.5752
1994-05-21,73641.802752,,12810972.6192
1994-05-22,75770.3199744,,12762237.8244
1994-05-23,93214.374912,,12695358.5388
1994-05-24,100798.746624,,12634992.027600002
1994-05-25,95660.946432,,12550757.6784
1994-05-26,90767.803392,,12437487.21
1994-05-27,40735.415808,,12336033.48
1994-05-28,35230.629888,,12217212.3516
1994-05-29,62876.888064,,12123122.4972
1994-05-30,60430.316543999994,,12023926.0356
1994-05-31,70216.60262399999,,11931180.674400002
1994-06-01,70045.34261759999,,11816282.0124
1994-06-02,32539.401216000002,,11712916.3884
1994-06-03,45163.7102592,,11593441.5156
1994-06-04,50325.9761664,,11486264.4384
1994-06-05,47928.3360768,,11402498.8116
1994-06-06,73128.0227328,,11330401.9056
1994-06-07,108627.775488,,11236398.3948
1994-06-08,98596.832256,,11142727.9236
1994-06-09,78534.945792,,11038942.9164
1994-06-10,32881.9212288,,10935984.340799998
1994-06-11,32368.141209600002,,10796798.457600001
1994-06-12,65298.993868800004,,10674794.9508
1994-06-13,65617.0481664,,10564114.7904
1994-06-14,53139.53341439999,,10459774.7172
1994-06-15,54901.0649088,,10397582.6556
1994-06-16,36796.435660799994,,10335896.320799999
1994-06-17,51524.796211199995,,10279550.954400001
1994-06-18,46656.1188864,,10228731.5784
1994-06-19,41934.235852800004,,10147247.889600001
1994-06-20,32025.6211968,,10061274.3336
1994-06-21,37016.6270976,,9976028.5308
1994-06-22,34594.521292800004,,9901304.3124
1994-06-23,39414.2671872,,9812506.0872
1994-06-24,27450.5324544,,9705020.64
1994-06-25,35034.9041664,,9595956.3384
1994-06-26,30141.7611264,,9527128.1544
1994-06-27,22777.5808512,,9424909.6668
1994-06-28,30092.829696,,9304645.366799999
1994-06-29,18178.026393599997,,9233263.8792
1994-06-30,15364.4691456,,9204326.4384
1994-07-01,27548.3953152,,9150719.3976
1994-07-02,22068.075110399997,,9111840.108000001
1994-07-03,19009.8607104,,9058652.4504
1994-07-04,23193.4980096,,9015480.6504
1994-07-05,18496.080691199997,,9001098.273599999
1994-07-06,21358.5693696,,8977181.0964
1994-07-07,14973.0177024,,8958086.826
1994-07-08,16122.9063168,,8924782.866
1994-07-09,21089.4465024,,8877515.9124
1994-07-10,12624.3090432,,8797672.752
1994-07-11,14850.6891264,,8736874.5228
1994-07-12,11890.337587200002,,8670143.254800001
1994-07-13,16563.2891904,,8594370.5784
1994-07-14,8391.740313600001,,8482049.889600001
1994-07-15,16881.343488000002,,8384999.6832
1994-07-16,6214.2916608,,8293598.8152
1994-07-17,7437.5774208,,8200680.7668
1994-07-18,14557.100544,,8085202.369200001
1994-07-19,6605.743104,,7980405.9084
1994-07-20,10887.243264,,7868023.545600001
1994-07-21,6923.7974016,,7777831.488000001
1994-07-22,10079.8746624,,7682668.506
1994-07-23,11034.037555199999,,7575318.7416
1994-07-24,10275.600384,,7491417.432
1994-07-25,9052.314624,,7404099.3828
1994-07-26,3180.542976,,7285068.5627999995
1994-07-27,9492.6974976,,7162670.3424
1994-07-28,8905.5203328,,7029540.846
1994-07-29,7413.111705599999,,5975926.899600001
1994-07-30,8416.2060288,,5861435.286
1994-07-31,5969.6345088,,5745216.800399999
1994-08-01,4893.14304,,5601282.0192
1994-08-02,2984.8172544,,5456409.7932
1994-08-03,9859.6832256,,5325845.9352
1994-08-04,5504.78592,,5209306.7448
1994-08-05,7143.9888384,,5088129.669600001
1994-08-06,5822.8402176,,4973243.3424
1994-08-07,5039.9373312,,4860712.962
1994-08-08,3523.0629888,,4740152.6268
1994-08-09,3302.871552,,4632778.1928
1994-08-10,2471.0372352,,4525317.4152
1994-08-11,2960.3515392,,4416512.144400001
1994-08-12,2740.1601024,,4297283.9676
1994-08-13,1908.3257856,,4170667.2456
1994-08-14,5309.0601983999995,,4047084.8844000003
1994-08-15,5602.6487808,,3926339.5272
1994-08-16,1810.4629247999999,,3803410.9104
1994-08-17,1834.92864,,3702364.2288
1994-08-18,1834.92864,,3596272.614
1994-08-19,1003.0943232,,3461046.2016000003
1994-08-20,562.7114496,,3339301.7256
1994-08-21,391.4514432,,3217853.2848000005
1994-08-22,415.9171584,,3125502.6371999998
1994-08-23,954.1628928,,3051210.1368
1994-08-24,1516.8743424,,2955183.7188
1994-08-25,1052.0257536,,2883752.892
1994-08-26,195.7257216,,2811396.9551999997
1994-08-27,195.7257216,,2746454.2332
1994-08-28,195.7257216,,2680734.4188
1994-08-29,195.7257216,,2597141.4792
1994-08-30,146.7942912,,2516952.9444
1994-08-31,7339.71456,,2410997.0124000004
1994-09-01,6605.743104,,2325751.2096
1994-09-02,1492.4086272,,2232907.17
1994-09-03,269.1228672,,2142197.0508
